Sample_ID	N1	N1_spike	RPP30	S2	S2_spike
Plate1-A01	734	12279	15	2	0
Plate1-A02	292	3853	10	0	0
Plate1-A03	301	7695	6	1	1
Plate1-A04	305	7278	10	0	0
Plate1-A05	2647	1779	105	0	0
Plate1-A06	2997	6009	110	0	0
Plate1-A07	159	2528	45	4	0
Plate1-A08	247	6568	188	0	0
Plate1-A09	452	10933	13	2	0
Plate1-A10	392	6842	43	0	0
Plate1-A11	163	3288	7	0	0
Plate1-A12	224	5216	3	0	0
Plate1-A13	301	1529	7	0	0
Plate1-A14	763	11403	14	0	0
Plate1-A15	153	1205	1	0	0
Plate1-A16	4344	28227	5	0	0
Plate1-A17	36479	60935	16	0	0
Plate1-A18	58138	80609	14	0	0
Plate1-A19	12363	4084	4	0	0
Plate1-A20	8796	4077	4	0	0
Plate1-A21	88188	3747	16	8	0
Plate1-A22	33456	1364	8	1	0
Plate1-A23	294343	343	54	24	0
Plate1-A24	313448	379	56	0	0
Plate1-B01	3024	42521	9	0	0
Plate1-B02	1148	59048	0	0	0
Plate1-B03	458	7484	6	0	0
Plate1-B04	792	54668	1	0	0
Plate1-B05	3621	55417	5	0	0
Plate1-B06	994	17712	2	0	0
Plate1-B07	610	28000	63	0	0
Plate1-B08	429	60269	1	0	0
Plate1-B09	1921	51329	17	0	0
Plate1-B10	1141	79358	2	0	0
Plate1-B11	90	2322	3	0	0
Plate1-B12	182	9633	1	0	0
Plate1-B13	907	13640	3	0	0
Plate1-B14	385	24030	0	0	0
Plate1-B15	953	5671	1	0	0
Plate1-B16	3032	55909	0	0	0
Plate1-B17	51553	71911	6	0	0
Plate1-B18	19620	87966	0	0	0
Plate1-B19	107271	42852	4	0	0
Plate1-B20	17897	16125	0	0	0
Plate1-B21	15170	680	3	0	0
Plate1-B22	69695	7722	1	0	0
Plate1-B23	311219	360	15	2	0
Plate1-B24	205368	538	3	0	0
Plate1-C01	112	744	10	0	0
Plate1-C02	90	301	12	0	0
Plate1-C03	3459	11789	3	0	0
Plate1-C04	3155	7068	4	0	0
Plate1-C05	84	2697	8	0	0
Plate1-C06	61	1948	6	0	0
Plate1-C07	88	2541	4	0	0
Plate1-C08	109	2172	8	0	0
Plate1-C09	36	587	6	0	0
Plate1-C10	67	1143	8	0	0
Plate1-C11	57	309	94	4	2
Plate1-C12	77	243	133	0	0
Plate1-C13	21	169	5554	2	0
Plate1-C14	44	148	25333	0	0
Plate1-C15	12484	2052	12	0	0
Plate1-C16	10662	10563	6	0	0
Plate1-C17	4625	6939	87	0	0
Plate1-C18	4338	6333	84	0	0
Plate1-C19	13866	4135	8	0	0
Plate1-C20	16155	4823	9	0	0
Plate1-C21	250593	8478	14	0	0
Plate1-C22	178862	6451	4	0	0
Plate1-C23	323252	268	32	13	0
Plate1-C24	328015	350	30	1	0
Plate1-D01	129	1659	3	0	0
Plate1-D02	673	19289	0	0	0
Plate1-D03	1541	18911	2	0	0
Plate1-D04	1468	43225	1	0	0
Plate1-D05	118	3651	1	0	0
Plate1-D06	535	45754	0	0	0
Plate1-D07	105	12210	0	0	0
Plate1-D08	406	34010	0	0	0
Plate1-D09	960	17314	3	0	0
Plate1-D10	565	46440	0	0	0
Plate1-D11	54	489	52	0	0
Plate1-D12	235	21670	0	0	0
Plate1-D13	50	315	7253	0	0
Plate1-D14	236	12400	31	0	0
Plate1-D15	6620	19742	2	0	0
Plate1-D16	4813	50396	0	0	0
Plate1-D17	13960	20950	24	0	0
Plate1-D18	15619	64138	3	0	0
Plate1-D19	10161	3520	0	0	0
Plate1-D20	23265	13178	0	0	0
Plate1-D21	105017	3810	2	0	0
Plate1-D22	84409	6482	0	0	0
Plate1-D23	308749	207	21	0	0
Plate1-D24	190320	299	3	0	0
Plate1-E01	87	130	6	1	0
Plate1-E02	208	2844	9	0	0
Plate1-E03	20	479	7	0	0
Plate1-E04	74	4097	14	0	0
Plate1-E05	5720	1977	3	1	0
Plate1-E06	2553	6488	7	0	0
Plate1-E07	357	1538	3	0	0
Plate1-E08	301	2792	1	0	0
Plate1-E09	35	257	6	1	2
Plate1-E10	162	3528	5	0	0
Plate1-E11	38	336	6000	0	0
Plate1-E12	49	483	1485	0	0
Plate1-E13	41	610	7	0	0
Plate1-E14	1128	23706	4	0	0
Plate1-E15	113	319	6	0	0
Plate1-E16	149	1063	10	0	0
Plate1-E17	1963	81478	131	0	1
Plate1-E18	383	8702	217	0	0
Plate1-E19	281	10389	773	0	0
Plate1-E20	284	2755	1112	0	0
Plate1-E21	287	6328	17	0	0
Plate1-E22	136	8078	12	0	0
Plate1-E23	86	1776	11	0	1
Plate1-E24	528	13845	11	0	0
Plate1-F01	187	1873	4	0	0
Plate1-F02	587	59343	1	0	0
Plate1-F03	1811	60126	1	0	0
Plate1-F04	59	10619	0	0	0
Plate1-F05	1084	9672	3	0	0
Plate1-F06	4651	58614	0	0	0
Plate1-F07	221	1281	1	0	0
Plate1-F08	227	16915	2	0	0
Plate1-F09	80	1956	2	0	0
Plate1-F10	135	24826	0	0	0
Plate1-F11	38	1562	5	0	0
Plate1-F12	64	6961	1	0	0
Plate1-F13	29	859	4	0	0
Plate1-F14	166	12075	0	0	0
